Rutas,Demanda,Intervalo de Hora
1,30,Mañana
2,80,Mañana
3,111,Mañana
4,100,Mañana
5,101,Mañana
6,96,Mañana
7,98,Mañana
8,99,Mañana
9,102,Mañana
10,167,Mañana
11,138,Mañana
12,139,Mañana
13,99,Mañana
14,144,Mañana
15,98,Mañana
16,98,Mañana
17,145,Mañana
18,100,Mañana
19,99,Mañana
20,99,Mañana
21,100,Mañana
22,145,Mañana
23,99,Mañana
24,99,Mañana
25,101,Mañana
1,127,Tarde
2,109,Tarde
3,119,Tarde
4,91,Tarde
5,170,Tarde
6,197,Tarde
7,179,Tarde
8,107,Tarde
9,199,Tarde
10,97,Tarde
11,168,Tarde
12,161,Tarde
13,200,Tarde
14,132,Tarde
15,121,Tarde
16,153,Tarde
17,178,Tarde
18,144,Tarde
19,144,Tarde
20,121,Tarde
21,200,Tarde
22,160,Tarde
23,174,Tarde
24,138,Tarde
25,156,Tarde
1,80,Noche
2,82,Noche
3,87,Noche
4,80,Noche
5,87,Noche
6,81,Noche
7,91,Noche
8,79,Noche
9,79,Noche
10,79,Noche
11,82,Noche
12,91,Noche
13,101,Noche
14,83,Noche
15,100,Noche
16,78,Noche
17,82,Noche
18,98,Noche
19,80,Noche
20,93,Noche
21,80,Noche
22,79,Noche
23,95,Noche
24,77,Noche
25,81,Noche
